district,date,month,year,visitors
Nalgonda,2016-12-01,December,2016,0
Nirmal,2016-01-01,January,2016,0
Nirmal,2016-02-01,February,2016,0
Nirmal,2016-03-01,March,2016,0
Nirmal,2016-04-01,April,2016,0
Nirmal,2016-05-01,May,2016,0
Nirmal,2016-06-01,June,2016,0
Nirmal,2016-07-01,July,2016,0
Nirmal,2016-08-01,August,2016,0
Nirmal,2016-09-01,September,2016,0
Nirmal,2016-10-01,October,2016,0
Nirmal,2016-11-01,November,2016,0
Nirmal,2016-12-01,December,2016,0
Nizamabad,2016-01-01,January,2016,0
Nizamabad,2016-02-01,February,2016,0
Nizamabad,2016-03-01,March,2016,0
Nizamabad,2016-04-01,April,2016,0
Nizamabad,2016-05-01,May,2016,0
Nizamabad,2016-06-01,June,2016,0
Nizamabad,2016-07-01,July,2016,0
Nizamabad,2016-08-01,August,2016,0
Nizamabad,2016-09-01,September,2016,0
Nizamabad,2016-10-01,October,2016,0
Nizamabad,2016-11-01,November,2016,0
Nizamabad,2016-12-01,December,2016,0
Peddapalli,2016-01-01,January,2016,0
Peddapalli,2016-02-01,February,2016,0
Peddapalli,2016-03-01,March,2016,0
Peddapalli,2016-04-01,April,2016,0
Peddapalli,2016-05-01,May,2016,0
Peddapalli,2016-06-01,June,2016,0
Peddapalli,2016-07-01,July,2016,0
Peddapalli,2016-08-01,August,2016,0
Peddapalli,2016-09-01,September,2016,0
Peddapalli,2016-10-01,October,2016,0
Peddapalli,2016-11-01,November,2016,0
Peddapalli,2016-12-01,December,2016,0
Rajanna Sircilla ,2016-01-01,January,2016,0
Rajanna Sircilla ,2016-02-01,February,2016,0
Rajanna Sircilla ,2016-03-01,March,2016,0
Rajanna Sircilla ,2016-04-01,April,2016,0
Rajanna Sircilla ,2016-05-01,May,2016,0
Rajanna Sircilla ,2016-06-01,June,2016,0
Rajanna Sircilla ,2016-07-01,July,2016,0
Rajanna Sircilla ,2016-08-01,August,2016,0
Rajanna Sircilla ,2016-09-01,September,2016,0
Rajanna Sircilla ,2016-10-01,October,2016,0
Rajanna Sircilla ,2016-11-01,November,2016,0
Rajanna Sircilla ,2016-12-01,December,2016,0
Ranga Reddy,2016-01-01,January,2016,0
Ranga Reddy,2016-02-01,February,2016,0
Ranga Reddy,2016-03-01,March,2016,0
Ranga Reddy,2016-04-01,April,2016,0
Ranga Reddy,2016-05-01,May,2016,0
Ranga Reddy,2016-06-01,June,2016,0
Ranga Reddy,2016-07-01,July,2016,0
Ranga Reddy,2016-08-01,August,2016,0
Ranga Reddy,2016-09-01,September,2016,0
Ranga Reddy,2016-10-01,October,2016,0
Ranga Reddy,2016-11-01,November,2016,0
Ranga Reddy,2016-12-01,December,2016,0
Sangareddy ,2016-01-01,January,2016,0
Sangareddy ,2016-02-01,February,2016,0
Sangareddy ,2016-03-01,March,2016,0
Sangareddy ,2016-04-01,April,2016,0
Sangareddy ,2016-05-01,May,2016,0
Sangareddy ,2016-06-01,June,2016,0
Sangareddy ,2016-07-01,July,2016,0
Sangareddy ,2016-08-01,August,2016,0
Sangareddy ,2016-09-01,September,2016,0
Sangareddy ,2016-10-01,October,2016,0
Sangareddy ,2016-11-01,November,2016,0
Sangareddy ,2016-12-01,December,2016,0
Siddipet,2016-01-01,January,2016,0
Siddipet,2016-02-01,February,2016,0
Siddipet,2016-03-01,March,2016,0
Siddipet,2016-04-01,April,2016,0
Siddipet,2016-05-01,May,2016,0
Siddipet,2016-06-01,June,2016,0
Siddipet,2016-07-01,July,2016,0
Siddipet,2016-08-01,August,2016,0
Siddipet,2016-09-01,September,2016,0
Siddipet,2016-10-01,October,2016,0
Siddipet,2016-11-01,November,2016,0
Siddipet,2016-12-01,December,2016,0
Suryapet,2016-01-01,January,2016,0
Suryapet,2016-02-01,February,2016,0
Suryapet,2016-03-01,March,2016,0
Suryapet,2016-04-01,April,2016,0
Suryapet,2016-05-01,May,2016,0
Suryapet,2016-06-01,June,2016,0
Suryapet,2016-07-01,July,2016,0
Suryapet,2016-08-01,August,2016,0
Suryapet,2016-09-01,September,2016,0
Suryapet,2016-10-01,October,2016,0
Suryapet,2016-11-01,November,2016,0
Suryapet,2016-12-01,December,2016,0
Vikarabad,2016-01-01,January,2016,0
Vikarabad,2016-02-01,February,2016,0
Vikarabad,2016-03-01,March,2016,0
Vikarabad,2016-04-01,April,2016,0
Vikarabad,2016-05-01,May,2016,0
Vikarabad,2016-06-01,June,2016,0
Vikarabad,2016-07-01,July,2016,0
Vikarabad,2016-08-01,August,2016,0
Vikarabad,2016-09-01,September,2016,0
Vikarabad,2016-10-01,October,2016,0
Vikarabad,2016-11-01,November,2016,0
Vikarabad,2016-12-01,December,2016,0
Wanaparthy ,2016-01-01,January,2016,0
Wanaparthy ,2016-02-01,February,2016,0
Wanaparthy ,2016-03-01,March,2016,0
Wanaparthy ,2016-04-01,April,2016,0
Wanaparthy ,2016-05-01,May,2016,0
Wanaparthy ,2016-06-01,June,2016,0
Wanaparthy ,2016-07-01,July,2016,0
Wanaparthy ,2016-08-01,August,2016,0
Wanaparthy ,2016-09-01,September,2016,0
Wanaparthy ,2016-10-01,October,2016,0
Wanaparthy ,2016-11-01,November,2016,0
Wanaparthy ,2016-12-01,December,2016,0
Warangal (Rural),2016-01-01,January,2016,0
Warangal (Rural),2016-02-01,February,2016,0
Warangal (Rural),2016-03-01,March,2016,0
Warangal (Rural),2016-04-01,April,2016,0
Warangal (Rural),2016-05-01,May,2016,0
Warangal (Rural),2016-06-01,June,2016,0
Warangal (Rural),2016-07-01,July,2016,0
Warangal (Rural),2016-08-01,August,2016,0
Warangal (Rural),2016-09-01,September,2016,0
Warangal (Rural),2016-10-01,October,2016,0
Warangal (Rural),2016-11-01,November,2016,0
Warangal (Rural),2016-12-01,December,2016,0
Warangal (Urban),2016-01-01,January,2016,459
Warangal (Urban),2016-02-01,February,2016,391
Warangal (Urban),2016-03-01,March,2016,230
Warangal (Urban),2016-04-01,April,2016,39
Warangal (Urban),2016-05-01,May,2016,82
Warangal (Urban),2016-06-01,June,2016,88
Warangal (Urban),2016-07-01,July,2016,53
Warangal (Urban),2016-08-01,August,2016,102
Warangal (Urban),2016-09-01,September,2016,118
Warangal (Urban),2016-10-01,October,2016,108
Warangal (Urban),2016-11-01,November,2016,97
Warangal (Urban),2016-12-01,December,2016,132
Yadadri Bhongir,2016-01-01,January,2016,0
Yadadri Bhongir,2016-02-01,February,2016,0
Yadadri Bhongir,2016-03-01,March,2016,0
Yadadri Bhongir,2016-04-01,April,2016,0
Yadadri Bhongir,2016-05-01,May,2016,0
Yadadri Bhongir,2016-06-01,June,2016,0
Yadadri Bhongir,2016-07-01,July,2016,0
Yadadri Bhongir,2016-08-01,August,2016,0
Yadadri Bhongir,2016-09-01,September,2016,0
Yadadri Bhongir,2016-10-01,October,2016,0
Yadadri Bhongir,2016-11-01,November,2016,0
Yadadri Bhongir,2016-12-01,December,2016,0
