district,date,month,year,visitors
Khammam,2018-09-01,September,2018,143465
Khammam,2018-10-01,October,2018,127645
Khammam,2018-11-01,November,2018,99070
Khammam,2018-12-01,December,2018,135600
Komaram Bheem Asifabad,2018-01-01,January,2018,2863
Komaram Bheem Asifabad,2018-02-01,February,2018,2736
Komaram Bheem Asifabad,2018-03-01,March,2018,1826
Komaram Bheem Asifabad,2018-04-01,April,2018,868
Komaram Bheem Asifabad,2018-05-01,May,2018,793
Komaram Bheem Asifabad,2018-06-01,June,2018,990
Komaram Bheem Asifabad,2018-07-01,July,2018,1954
Komaram Bheem Asifabad,2018-08-01,August,2018,2263
Komaram Bheem Asifabad,2018-09-01,September,2018,1819
Komaram Bheem Asifabad,2018-10-01,October,2018,2525
Komaram Bheem Asifabad,2018-11-01,November,2018,1741
Komaram Bheem Asifabad,2018-12-01,December,2018,2176
Mahabubabad ,2018-01-01,January,2018,14000
Mahabubabad ,2018-02-01,February,2018,14230
Mahabubabad ,2018-03-01,March,2018,13110
Mahabubabad ,2018-04-01,April,2018,12915
Mahabubabad ,2018-05-01,May,2018,12865
Mahabubabad ,2018-06-01,June,2018,13910
Mahabubabad ,2018-07-01,July,2018,13970
Mahabubabad ,2018-08-01,August,2018,13200
Mahabubabad ,2018-09-01,September,2018,13420
Mahabubabad ,2018-10-01,October,2018,13550
Mahabubabad ,2018-11-01,November,2018,13700
Mahabubabad ,2018-12-01,December,2018,17125
Mahbubnagar,2018-01-01,January,2018,156153
Mahbubnagar,2018-02-01,February,2018,788083
Mahbubnagar,2018-03-01,March,2018,166863
Mahbubnagar,2018-04-01,April,2018,196061
Mahbubnagar,2018-05-01,May,2018,193478
Mahbubnagar,2018-06-01,June,2018,165553
Mahbubnagar,2018-07-01,July,2018,161841
Mahbubnagar,2018-08-01,August,2018,169154
Mahbubnagar,2018-09-01,September,2018,167833
Mahbubnagar,2018-10-01,October,2018,193152
Mahbubnagar,2018-11-01,November,2018,295910
Mahbubnagar,2018-12-01,December,2018,198227
Mancherial,2018-01-01,January,2018,71955
Mancherial,2018-02-01,February,2018,38599
Mancherial,2018-03-01,March,2018,20749
Mancherial,2018-04-01,April,2018,38483
Mancherial,2018-05-01,May,2018,26179
Mancherial,2018-06-01,June,2018,31667
Mancherial,2018-07-01,July,2018,27937
Mancherial,2018-08-01,August,2018,31861
Mancherial,2018-09-01,September,2018,23141
Mancherial,2018-10-01,October,2018,30740
Mancherial,2018-11-01,November,2018,25197
